Date,VaR95,cVar95,VaR99,cVaR99
2016-04-01,-10274.617557,-12732.486534,-14101.243734,-16205.707928999998
2016-05-02,-9752.036349999998,-12550.624379999997,-13984.294449999998,-16956.23503
2016-06-01,-6593.273700000001,-8382.043306000001,-9343.263228000002,-10692.546644
2016-07-01,-6587.198831999999,-8085.184512,-9478.776672,-10417.220831999999
2016-08-01,-7285.355508000001,-9185.369484,-10112.251984,-12306.256684
2016-09-01,-7197.517209,-9206.285727,-10093.293312,-12009.29259
2016-10-03,-6440.07008,-8009.432000000001,-8867.75552,-10023.53568
2016-11-01,-7502.12242,-9180.451799999999,-10163.478650000001,-11492.07462
2016-12-01,-6619.569638000001,-8313.946223,-9392.865137,-10631.958345000001
2017-01-02,-5639.069640000001,-7192.999782,-7846.4505690000005,-9544.140153
2017-02-01,-10446.820615999999,-13515.37126,-15720.847994999998,-17092.872051
2017-03-01,-7987.08495,-10365.6241,-11879.144225,-13238.73395
2017-04-03,-9737.059318,-11757.75089,-13375.674362000002,-14573.314005
2017-05-01,-8502.440518,-10866.435232000002,-12249.625375000001,-13215.367165
2017-06-01,-11324.975339999999,-13904.353635,-15265.368194999997,-16356.001665
2017-07-03,-11746.686735,-14397.682426,-15860.384611,-17509.37305
2017-08-01,-10202.446436,-12516.610172,-13458.138744,-15734.487872000002
2017-09-01,-10388.415314,-13098.47496,-14753.32184,-16539.879758
2017-10-02,-10008.151119999999,-12684.61296,-13750.807388,-16207.115919999998
2017-11-01,-11398.840275,-14439.00702,-15809.322494999999,-18969.1852
2017-12-01,-9784.257625,-12536.94068,-14688.57038,-16586.1449
2018-01-01,-11945.612444999999,-15070.057599999998,-17053.735725,-19953.437205
2018-02-01,-10129.380899999998,-12969.815475999998,-14921.592936,-16741.46486
2018-03-01,-9856.864776,-12090.656820000002,-13507.104237000001,-14835.7209
2018-04-02,-8634.793969999999,-10973.312443999997,-12949.040183,-14472.309314999999
2018-05-01,-11051.900313,-14362.637897999999,-16016.818158,-19056.660276
2018-06-01,-9846.010701,-12391.167123,-13591.68597,-16142.217056999998
2018-07-02,-5678.9464800000005,-7074.855998,-7681.293324,-8789.602996
2018-08-01,-5627.858116,-7168.220928,-8461.364696,-9475.507644
2018-09-03,-5852.116215000001,-7424.354295,-8156.390985000001,-9625.68927
2018-10-01,-8000.126178000001,-9856.861964000002,-10741.130476,-12616.959122
2018-11-01,-11131.67133,-13998.761586,-15220.823868,-17330.326326
2018-12-03,-7097.531358000001,-8838.453204,-9829.363146000002,-11444.96628
2019-01-01,-8461.361464,-10539.870868,-11407.743007,-13923.085068
2019-02-01,-15006.506720000001,-18750.887994,-20976.62955,-23812.714674
2019-03-01,-12571.435898000002,-15846.460404000001,-17639.068865,-20299.625704000002
2019-04-01,-13154.980832000001,-16874.034499,-18794.301134,-22848.478289
2019-05-01,-14968.947744,-18549.079704,-20606.53284,-22658.513454000004
2019-06-03,-8308.271946,-10616.342512000001,-11972.250150000002,-13880.486464000001
2019-07-01,-8534.098469999999,-10197.987729999999,-10889.335319999998,-12211.97728
2019-08-01,-9915.090731999999,-12045.895668,-13336.589159999998,-14953.751171999998
2019-09-02,-7077.331992,-8759.393016,-9672.663774,-11250.102372
2019-10-01,-7741.001268,-9816.222312,-10908.263691,-12507.502293
2019-11-01,-9261.351388000001,-12095.10828,-13559.205931999999,-15338.974424
2019-12-02,-14403.873876,-18406.188336,-20452.7325,-24168.831804
2020-01-01,-14633.310042,-19065.279636,-22093.912971,-25771.779423
2020-02-03,-13650.860132000002,-17164.528836,-19444.85816,-22152.664534
2020-03-02,-10279.673152,-13238.475824,-15073.661456,-16930.665023999998
2020-04-01,-6592.656106,-8543.194865,-10094.0583,-11232.162309
2020-05-01,-10003.75356,-12315.082188,-13697.607580000002,-15078.0478
2020-06-01,-8540.253757,-11177.189051000001,-12982.248748,-14451.498851999999
2020-07-01,-10340.277654,-12877.174359,-14961.569616,-16266.410748000002
2020-08-03,-8688.736959,-10949.68679,-13101.031285999998,-14267.989980999999
2020-09-01,-9090.153288,-11087.573568000002,-12562.264016000001,-14007.586592000001
2020-10-01,-10756.262778999999,-14081.343336,-17145.427933,-18580.427309
2020-11-02,-7330.544710000001,-9043.388608000001,-9959.326708,-11328.502172
2020-12-01,-9408.107016000002,-12049.133712,-13636.833672,-15152.299008000002
2021-01-01,-8475.104264,-10613.090063999998,-11927.243336,-13750.0584
2021-02-01,-11037.543986,-14202.860945,-15733.672064999999,-18009.943993
2021-03-01,-12289.686303999999,-15420.039206,-17077.183692,-19594.610266
2021-04-01,-12791.079855999998,-15594.641851999999,-17143.416396,-19365.052344
2021-05-03,-12566.660133000001,-15595.152693,-17223.900648000003,-20305.892811
