,USDCNY_pnl,USDBRL_pnl,USDZAR_pnl,USDRUB_pnl,EURUSD_pnl,USDJPY_pnl,USDMXN_pnl,USDCAD_pnl,Total_pnl
2016-04-29,0.0,0.0,0.0,0.0,-7192.051202724581,0.0,0.0,0.0,-7192.051202724581
2016-06-01,0.0,0.0,0.0,0.0,-21340.346106150708,0.0,0.0,0.0,-21340.346106150708
2016-07-01,15656.228692447545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15656.228692447545
2016-08-01,-20827.364572351606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20827.364572351606
2016-09-01,-9928.69025044382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9928.69025044382
2016-09-30,-20491.248128390627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20491.248128390627
2016-11-01,20638.012352210713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20638.012352210713
2016-12-01,38398.59987292756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38398.59987292756
2016-12-30,3208.147837859062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3208.147837859062
2017-02-01,-20244.38700733514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20244.38700733514
2017-03-01,0.0,0.0,0.0,0.0,-21254.806657127418,0.0,0.0,0.0,-21254.806657127418
2017-03-31,0.0,0.0,0.0,0.0,0.0,-21233.19873513897,0.0,0.0,-21233.19873513897
2017-05-01,0.0,0.0,0.0,0.0,21140.926186450204,0.0,0.0,0.0,21140.926186450204
2017-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21316.80690952399,-21316.80690952399
2017-06-30,0.0,0.0,0.0,0.0,22925.997084846604,0.0,0.0,0.0,22925.997084846604
2017-08-01,0.0,0.0,0.0,0.0,67522.23799791311,0.0,0.0,0.0,67522.23799791311
2017-09-01,0.0,0.0,0.0,0.0,-9875.19578613358,0.0,0.0,0.0,-9875.19578613358
2017-09-29,0.0,0.0,0.0,0.0,-21779.217961569706,0.0,0.0,0.0,-21779.217961569706
2017-11-01,0.0,0.0,0.0,0.0,-22481.66792605533,0.0,0.0,0.0,-22481.66792605533
2017-12-01,0.0,0.0,0.0,0.0,0.0,-21822.294138947924,0.0,0.0,-21822.294138947924
2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,57520.79622229745,0.0,57520.79622229745
2018-02-01,0.0,0.0,0.0,0.0,78326.23661258267,0.0,0.0,0.0,78326.23661258267
2018-03-01,0.0,0.0,0.0,0.0,-23608.084667028394,0.0,0.0,0.0,-23608.084667028394
2018-03-30,0.0,0.0,0.0,0.0,-12817.792505985874,0.0,0.0,0.0,-12817.792505985874
2018-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22889.224674417084,-22889.224674417084
2018-06-01,0.0,71563.78603130432,0.0,0.0,0.0,0.0,0.0,0.0,71563.78603130432
2018-06-29,0.0,12669.906932670061,0.0,0.0,0.0,0.0,0.0,0.0,12669.906932670061
2018-08-01,31357.010647443378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31357.010647443378
2018-08-31,-18439.83268125653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18439.83268125653
2018-10-01,-6062.657705715329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6062.657705715329
2018-11-01,-719.8113040187241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-719.8113040187241
2018-11-30,0.0,0.0,0.0,0.0,0.0,697.4125304979881,0.0,0.0,697.4125304979881
2019-01-01,-24555.33074613638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24555.33074613638
2019-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23549.90818466565,-23549.90818466565
2019-03-01,0.0,0.0,0.0,0.0,-24416.146790077153,0.0,0.0,0.0,-24416.146790077153
2019-04-01,0.0,0.0,0.0,0.0,-24583.5381493461,0.0,0.0,0.0,-24583.5381493461
2019-05-01,0.0,0.0,0.0,0.0,0.0,-17765.412252474118,0.0,0.0,-17765.412252474118
2019-05-31,0.0,0.0,0.0,0.0,0.0,-24435.243365919265,0.0,0.0,-24435.243365919265
2019-07-01,-23107.598697315756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23107.598697315756
2019-08-01,9730.080131590194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9730.080131590194
2019-08-30,152454.32908758908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152454.32908758908
2019-10-01,-23091.073193579006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23091.073193579006
2019-11-01,-22894.276598914297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22894.276598914297
2019-11-29,-21920.702751133736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21920.702751133736
2020-01-01,0.0,0.0,0.0,0.0,0.0,-22165.691113833516,0.0,0.0,-22165.691113833516
2020-01-31,0.0,0.0,0.0,0.0,-23125.029326673524,0.0,0.0,0.0,-23125.029326673524
2020-02-28,0.0,62132.482783942956,0.0,0.0,0.0,0.0,0.0,0.0,62132.482783942956
2020-04-01,0.0,170453.18501371366,0.0,0.0,0.0,0.0,0.0,0.0,170453.18501371366
2020-05-01,0.0,11760.274098919384,0.0,0.0,0.0,0.0,0.0,0.0,11760.274098919384
2020-06-01,0.0,0.0,0.0,0.0,12745.592357195555,0.0,0.0,0.0,12745.592357195555
2020-07-01,-20271.391362361675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20271.391362361675
2020-07-31,0.0,0.0,0.0,0.0,83585.67550910953,0.0,0.0,0.0,83585.67550910953
2020-09-01,0.0,0.0,0.0,0.0,6916.198505824006,0.0,0.0,0.0,6916.198505824006
