Date,USDCNY_theta,USDBRL_theta,USDZAR_theta,USDRUB_theta,EURUSD_theta,USDJPY_theta,USDMXN_theta,USDCAD_theta,Total_theta
2016-08-09,352.8883409,0,0,0,0,0,0,0,352.8883409
2016-08-10,341.3591141,0,0,0,0,0,0,0,341.3591141
2016-08-11,300.123437,0,0,0,0,0,0,0,300.123437
2016-08-12,351.6686897,0,0,0,0,0,0,0,351.6686897
2016-08-15,397.830874,0,0,0,0,0,0,0,397.830874
2016-08-16,496.1068561,0,0,0,0,0,0,0,496.1068561
2016-08-17,286.3468769,0,0,0,0,0,0,0,286.3468769
2016-08-18,417.4363943,0,0,0,0,0,0,0,417.4363943
2016-08-19,220.3476166,0,0,0,0,0,0,0,220.3476166
2016-08-22,309.9943686,0,0,0,0,0,0,0,309.9943686
2016-08-23,477.5011482,0,0,0,0,0,0,0,477.5011482
2016-08-24,658.4403965,0,0,0,0,0,0,0,658.4403965
2016-08-25,779.0085772,0,0,0,0,0,0,0,779.0085772
2016-08-26,882.9915714,0,0,0,0,0,0,0,882.9915714
2016-08-29,706.4194073,0,0,0,0,0,0,0,706.4194073
2016-08-30,122.0569568,0,0,0,0,0,0,0,122.0569568
2016-08-31,2376.98819,0,0,0,0,0,0,0,2376.98819
2016-09-01,316.7018176,0,0,0,0,0,0,0,316.7018176
2016-09-02,346.4353057,0,0,0,0,0,0,0,346.4353057
2016-09-05,368.5630536,0,0,0,0,0,0,0,368.5630536
2016-09-06,475.450198,0,0,0,0,0,0,0,475.450198
2016-09-07,344.2193402,0,0,0,0,0,0,0,344.2193402
2016-09-08,392.7933794,0,0,0,0,0,0,0,392.7933794
2016-09-09,343.5779434,0,0,0,0,0,0,0,343.5779434
2016-09-12,768.8102245,0,0,0,0,0,0,0,768.8102245
2016-09-13,444.054645,0,0,0,0,0,0,0,444.054645
2016-09-14,552.5305932,0,0,0,0,0,0,0,552.5305932
2016-09-15,593.7702684,0,0,0,0,0,0,0,593.7702684
2016-09-16,509.8616604,0,0,0,0,0,0,0,509.8616604
2016-09-19,698.3951464,0,0,0,0,0,0,0,698.3951464
2016-09-20,720.3927047,0,0,0,0,0,0,0,720.3927047
2016-09-21,925.2305395,0,0,0,0,0,0,0,925.2305395
2016-09-22,634.5369439,0,0,0,0,0,0,0,634.5369439
2016-09-23,755.7002846,0,0,0,0,0,0,0,755.7002846
2016-09-26,789.2311927,0,0,0,0,0,0,0,789.2311927
2016-09-27,783.3611383,0,0,0,0,0,0,0,783.3611383
2016-09-28,2258.067898,0,0,0,0,0,0,0,2258.067898
2016-09-29,1317.249606,0,0,0,0,0,0,0,1317.249606
2016-09-30,0,0,0,0,0,0,0,0,0
2016-10-03,304.3062548,0,0,0,0,0,0,0,304.3062548
2016-10-04,302.4698921,0,0,0,0,0,0,0,302.4698921
2016-10-05,312.8970434,0,0,0,0,0,0,0,312.8970434
2016-10-06,313.3921595,0,0,0,0,0,0,0,313.3921595
2016-10-07,383.7332074,0,0,0,0,0,0,0,383.7332074
2016-10-10,334.363878,0,0,0,0,0,0,0,334.363878
2016-10-11,342.0421236,0,0,0,0,0,0,0,342.0421236
2016-10-12,375.7590553,0,0,0,0,0,0,0,375.7590553
2016-10-13,447.9700469,0,0,0,0,0,0,0,447.9700469
2016-10-14,311.7198374,0,0,0,0,0,0,0,311.7198374
2016-10-17,376.3303631,0,0,0,0,0,0,0,376.3303631
2016-10-18,320.3413124,0,0,0,0,0,0,0,320.3413124
2016-10-19,288.7025742,0,0,0,0,0,0,0,288.7025742
2016-10-20,257.6910342,0,0,0,0,0,0,0,257.6910342
2016-10-21,347.078266,0,0,0,0,0,0,0,347.078266
2016-10-24,389.2957241,0,0,0,0,0,0,0,389.2957241
2016-10-25,263.4202503,0,0,0,0,0,0,0,263.4202503
