TICKER
URTH
VEA
SPDW
IDEV
GSIE
IVLU
IGOV
GWX
IVV
VTV
VUG
IWM
VO
VCIT
BOND
FBND
GTO
BNDW
FDHY
BGRN
VGK
BBEU
IEUR
FEZ
IEUS
IAU
SLV
GLD
VT
ICLN
ACWV
IXN
XT
REET
IOO
IGF
IXJ
IXG
ROBO
IXC
VWO
IEMG
EEM
EMB
EWT
MCHI
EWZ
SPEM
INDA
EMLC
VWOB
PCY
ILF
EWW
EEMA
DVYE
HYEM
AFK
