Date,URTH,VEA ,SPDW,IDEV,GSIE ,IVLU,IGOV,GWX,IVV,VTV,VUG,IWM,VO,VCIT,BOND,FBND,GTO,BNDW,FDHY,BGRN ,VGK,BBEU,IEUR,FEZ,IEUS,IAU,SLV,GLD,VT,ICLN,ACWV,IXN ,XT,REET,IOO,IGF,IXJ,IXG,ROBO,IXC,VWO,IEMG,EEM,EMB,EWT,MCHI,EWZ,SPEM,INDA,EMLC,VWOB,PCY,ILF,EWW,EEMA,DVYE,HYEM,AFK,CNY=X,BRL=X,ZAR=X,RUB=X,EUR=X,JPY=X,MXN=X
2011-01-18,,,0.003013561,,,,-0.001957373,0.002452182,0.002555124,0.000239063,0.004498021,0.000719011,0.005481955,-0.00161435,,,,,,,0.00742645,,,0.004716981,0.002348993,0.004511278,0.014780101,0.005576909,0.002858628,0.030039526,,,,,0.003269309,0.006735341,0.005092593,0,,0.007815275,-0.000270343,,-0.001292658,-0.001944361,0,,0.005803038,0,,-0.000989446,,-0.001253133,0.002936858,0.004445303,,,,-0.019622642,0.000623176,0.020629816,-0.004816106,-0.000403484,0.007225047,-0.002618022,0.004675628
2011-01-19,,,-0.004006009,,,,0.006755284,-0.004403131,-0.010100057,-0.010277247,-0.010926025,-0.025722087,-0.016204755,0.001976285,,,,,,,-0.010490502,,,-0.005055977,-0.006026113,0.002245509,-0.002486679,0.002173424,-0.008810573,-0.009976976,,,,,-0.006517312,0,-0.005527407,-0.013221802,,-0.008812125,-0.008112493,,-0.007765985,-0.00314701,0.002060157,,-0.012387578,-0.00807537,,-0.00165071,,-0.00250941,-0.013421181,-0.011352703,,,,-0.01039261,-0.001321526,-0.006301647,0.00188926,-0.002958965,-0.007040383,-0.000701585,0.004321449
2011-01-20,,,-0.010558069,,,,-0.008441558,-0.00982801,-0.00123963,0.000241488,-0.004527345,-0.010471976,-0.005541872,-0.004303389,,,,,,,-0.006303725,,,0.011252269,-0.015493432,-0.019417476,-0.043803419,-0.018845348,-0.005228758,-0.002325581,,,,,-0.002460025,0.00472255,-0.002779064,-0.001093793,,-0.008179232,-0.0087241,,-0.010957475,-0.003457607,-0.006167763,,-0.013402062,-0.013568521,,-0.003637566,,-0.005660377,-0.012614395,-0.003503309,,,,-0.01050175,-0.000288991,-0.000897398,0.013489991,-0.001997457,-0.00548495,-0.005531884,-0.002151427
2011-01-21,,,0.004065041,,,,0.01331587,-0.004466501,0.002195914,0.00651859,-0.002183009,-0.006707408,-0.000773994,0.001440663,,,,,,,0.014705882,,,0.02045944,0.007526514,0,-0.000744879,-0.001295732,0.002365309,0.003108003,,,,,0.00945335,0.000391696,0.003715745,0.009033671,,0.005736823,-0.00990099,,-0.010551306,-0.001055966,-0.007860985,,-0.011320098,-0.007221458,,-0.001659476,,0.000632511,-0.004759519,-0.004882813,,,,0.011006289,0.000593363,-0.020838323,0.010734221,-0.019387629,-0.001210654,0.009311667,-0.000414628
2011-01-24,,,0.01062753,,,,0.002585093,0.007477567,0.005906449,0.003837851,0.008021878,0.007352941,0.007436096,0.000359648,,,,,,,0.008525149,,,0.008090046,0.005093379,-0.006092917,-0.017517704,-0.005113333,0.00681699,0.024786987,,,,,0.008957655,0.004306969,0.006015733,0.004340749,,0.003565062,0.006666667,,0.007997867,0.002718212,0.003336113,,0.013387352,0.005542085,,0.004321809,,0.003160556,0.012333249,0.007458292,,,,0.008942457,-0.000456163,-0.009723581,-0.001840838,0.02288547,-0.011178451,-0.004027979,-0.00024888
2011-01-25,,,-0.003004507,,,,0.001504083,-0.000989609,-0.000189412,0.000477897,0.000180865,0.001638612,-0.000768876,0.003954701,,,,,,,-0.002254156,,,-0.00418702,-0.001013514,-0.001532567,-0.004931715,-0.001994477,-0.002864583,-0.020408163,,,,,-0.00322841,-0.007017544,-0.001379945,-0.006212858,,-0.007815275,-0.005794702,,-0.006083047,-0.000753012,0.002493766,,-0.009907874,-0.003100241,,-0.002979146,,-0.001890359,-0.009448036,-0.006623807,,,,-0.019267823,-0.000182548,0.031618601,-0.008086253,-0.002854335,-0.001770635,-0.000532778,0.002406439
2011-01-26,,,0.007533903,,,,-0.01137095,0.007924715,0.004830918,0.002866014,0.007414105,0.015913147,0.010926439,-0.004297225,,,,,,,0.006212934,,,0.000700771,0.008454515,0.008442057,0.025162028,0.008147579,0.00600679,-0.011574074,,,,,0.004048583,0.007459757,0.001381852,0.002174504,,0.016827784,0.009159034,,0.008781267,-0.000150716,0.010779436,,0.000351124,0.004837595,,0.000332005,,0.000631313,0.006024096,0.008433026,,,,-0.002357564,3.04E-05,-0.001676145,0.007866133,-0.004458001,-0.003001774,-0.003416443,-0.007036424
2011-01-27,,,0.002492522,,,,0.002387153,0.001965602,0.002356712,0.003572279,0.001615509,0.002927829,0.005023596,0.003236828,,,,,,,0.006455234,,,0.015756303,0.006706908,-0.02435312,-0.022313128,-0.02462641,0.003115265,0.006245121,,,,,0.003225806,0.007014809,0,0.007865473,,0.001760563,-0.00330033,,-0.003429174,-0.003466988,0.007793273,,-0.015093015,-0.002751032,,0.005310322,,-0.002523659,-0.011227545,-0.005445352,,,,-0.026782198,-9.13E-05,-0.029621635,0.002327231,0.00015151,-0.001779116,-0.001179188,0.003418091
2011-01-28,,,-0.020387867,,,,0.002164971,-0.020107896,-0.018245086,-0.015899383,-0.020430108,-0.024521968,-0.017721902,0.001433949,,,,,,,-0.025655326,,,-0.032057911,-0.022318454,0.017160686,0.038417649,0.018369421,-0.02173913,-0.032583398,,,,,-0.019292605,-0.017414861,-0.019319227,-0.020721206,,-0.010896309,-0.030905077,,-0.031498147,-0.007411889,-0.01953602,,-0.021382751,-0.02862069,,-0.007263123,,-0.002530044,-0.028009084,-0.030700039,,,,-0.045325779,-1.52E-05,0.03336835,-0.002180253,-0.004022824,-0.000959693,0.00878741,0.013708873
2011-01-31,,,0.007106599,,,,0.00712897,0.006506507,0.007950953,0.007716422,0.00841566,0.00703277,0.0077101,-0.001968856,,,,,,,0.015168861,,,0.018162393,0.009540034,-0.002300613,0.003296703,-0.003147068,0.009259259,0.016038492,,,,,0.007786885,0.01142182,0.003752345,0.010992031,,0.025586354,0.010535308,,0.010385351,0.001219141,-0.00124533,,0.008922068,0.007454739,,-0.002660459,,-0.000634115,0.014018692,0.010490216,,,,0.000423908,9.13E-05,-0.022723196,0.016018729,0.003116339,0.011115685,-0.009603668,-0.007294484
2011-02-01,,,0.027721774,,,,0.009223509,0.025857782,0.016156624,0.018425461,0.013969521,0.023031204,0.01606733,-0.00125538,,,,,,,0.022272343,,,0.025533403,0.026999663,0.006149116,0.017524644,0.007161007,0.019397117,0.023677979,,,,,0.021553477,0.016744548,0.019626168,0.0209296,,0.023908524,0.021414483,,0.024344063,0.00456621,0.024937656,,0.020212958,0.021141649,,0.003334445,,0.001269036,0.02406554,0.027550409,,,,0.027542373,0.003392925,0.020008566,0.002248321,0.003598601,-0.010314875,-0.000231456,-0.008925033
2011-02-02,,,-0.000980873,,,,-0.002975558,-0.006786234,-0.001964085,-0.003289474,-0.002147075,-0.003776325,-0.002259036,-0.001795655,,,,,,,-0.005239934,,,-0.005115962,-0.01183043,-0.001527884,-0.006458558,-0.002675841,-0.002057084,0.023901311,,,,,-0.001592357,-0.004978935,-0.005957837,-0.001863685,,-0.001692047,-0.007724138,,-0.007393715,0.001363636,-0.00081103,,-0.017335928,-0.000690131,,0,,0.003802281,-0.00925,0.006217214,,,,0.002061856,-0.001516346,-0.001079784,-0.011118852,-0.005778076,-0.008365332,-0.008273425,0.000183274
2011-02-03,,,-0.001472754,,,,-0.004476657,0.001952172,0.002061662,0.002828854,0.00340685,0.003644846,0.005735849,-0.003777658,,,,,,,-0.003604103,,,-0.010284539,-0.000997672,0.012241775,0.021668472,0.013415102,0.001030662,-0.008283133,,,,,-0.001594896,0.001539646,0.00230521,-0.000266738,,-0.003389831,-0.000834028,,-0.001330141,-0.00257225,-0.000405844,,-0.001080108,-0.001035912,,-0.0036557,,-0.003156566,0,-0.002510137,,,,0.000411523,-0.005512696,-0.001501321,0.008468128,-0.006007517,0.000829761,0.00125321,-0.000757948
2011-02-04,,,0.001474926,,,,-0.008993576,0.001948368,0.002899093,0.000470146,0.004467477,0.001743173,0.004952724,-0.003972553,,,,,,,-0.001947691,,,-0.001385521,0.000998668,-0.003023432,0.0038883,-0.00408472,0.001287001,-0.01063022,,,,,-0.001996805,-0.002305919,0.000919963,-0.001067236,,-0.005102041,-0.000556483,,-0.000266383,-0.006067961,0.004466098,,-0.017120202,-0.002073972,,0.002001334,,-0.001266624,-0.013373707,-0.010065815,,,,0.013574661,0,0.003428159,0.010925908,3.40E-05,0.014232417,0.001926546,-0.001917146
